분,신,종목명,현재가,대비,,등락률,거래량,전일비,시외,종목코드
증,,폴라리스오피스,"7,940",▲,"1,420","21.78","39,113,326","1,815.04","1.01",'041020
신,,신세계 I&C,"12,510",▼,"-90","-0.71","55,253","80.96","0.24",'035510
신,,씨아이에스,"11,100", ,"","","423,157","88.23","-0.18",'222080
신,,SK하이닉스,"156,200",▼,"-1,800","-1.14","3,386,307","92.35","-0.13",'000660
신,,크래프톤,"227,000",▲,"2,000","0.89","97,956","117.94","-0.66",'259960
신,뉴,기아,"124,500",▲,"6,800","5.78","5,862,121","319.68","-0.40",'000270
신,,CJ,"96,900",▲,"1,900","2.00","99,411","85.19","",'001040
신,,LG이노텍,"202,000",▼,"-3,000","-1.46","123,160","149.85","",'011070
증,,피에스케이홀딩스,"40,750",▼,"-2,700","-6.21","324,562","50.89","-0.12",'031980
신,,HPSP,"51,400",▼,"-1,000","-1.91","1,541,841","80.30","-0.39",'403870
신,,드림텍,"11,010",▲,"220","2.04","850,561","288.18","-0.64",'192650
신,,주성엔지니어링,"36,750",▼,"-3,250","-8.13","3,410,924","26.62","-0.68",'036930
신,,하나금융지주,"56,600",▲,"1,000","1.80","1,946,360","116.53","-0.88",'086790
신,,SK,"191,800",▼,"-1,800","-0.93","372,756","181.30","",'034730
신,,이오테크닉스,"204,500",▲,"2,500","1.24","431,272","89.20","-0.24",'039030
신,,더존비즈온,"45,550",▼,"-100","-0.22","343,039","59.57","-0.55",'012510
신,,넥스틴,"76,200",▲,"1,400","1.87","161,009","41.24","-0.13",'348210
,,한미반도체,"84,800",▼,"-5,300","-5.88","2,639,987","45.79","-0.71",'042700
,,이수페타시스,"30,550",▼,"-50","-0.16","1,437,947","69.66","-0.49",'007660
,,ISC,"71,900",▲,"1,500","2.13","269,630","134.19","-0.56",'095340
신,,GST,"38,800",▲,"1,700","4.58","885,154","119.61","-1.03",'083450
,,,"",,"","","","","",
,,,"",,"","","","","",
,,,"",,"","","","","",
,,,"",,"","","","","",
,,,"",,"","","","","",
,,,"",,"","","","","",
,,,"",,"","","","","",
,,,"",,"","","","","",
,,,"",,"","","","","",
